Date,Open,High,Low,Close,Adj Close,Volume
10/7/2013,17.377144,17.594643,17.333929,17.419643,15.428105,312292400
10/8/2013,17.497856,17.522858,17.162144,17.17643,15.212693,290917200
10/9/2013,17.308571,17.42107,17.081429,17.378214,15.391409,301725200
10/10/2013,17.547144,17.584999,17.394285,17.487143,15.487876,278602800
10/11/2013,17.3925,17.637142,17.327143,17.600357,15.588148,267738800
10/14/2013,17.493929,17.770714,17.476786,17.715714,15.690319,261898000
10/15/2013,17.768213,17.928572,17.697144,17.809999,15.773831,320073600
10/16/2013,17.885357,17.9475,17.829643,17.896786,15.85069,251101200
10/17/2013,17.856428,18.027857,17.845715,18.017857,15.957925,253593200
10/18/2013,18.071072,18.187857,18.061071,18.174643,16.096779,290542000
10/21/2013,18.2775,18.725,18.268572,18.620001,16.491224,398106800
10/22/2013,18.800358,18.873215,18.143929,18.566786,16.444092,534063600
10/23/2013,18.535713,18.77393,18.535713,18.748571,16.605097,313723200
10/24/2013,18.75,19.016787,18.65893,18.996786,16.82493,384764800
10/25/2013,18.975714,19.043928,18.753929,18.784286,16.636728,337792000
10/28/2013,18.894285,18.964287,18.686071,18.924286,16.760721,550440800
10/29/2013,19.1525,19.258928,18.376429,18.452856,16.343189,635807200
10/30/2013,18.557501,18.84,18.465,18.746429,16.603197,354163600
10/31/2013,18.75,18.838928,18.616785,18.667856,16.533607,275696400
11/1/2013,18.715,18.742857,18.422857,18.5725,16.449152,274890000
11/4/2013,18.610714,18.815001,18.528929,18.8125,16.661713,244627600
11/5/2013,18.735001,18.888929,18.678572,18.766071,16.620594,265213200
11/6/2013,18.719643,18.745001,18.507143,18.604286,16.573505,223375600
11/7/2013,18.556429,18.685356,18.299286,18.303213,16.305294,262620400
11/8/2013,18.377857,18.611786,18.306786,18.591429,16.562054,279316800
11/11/2013,18.571072,18.631071,18.371786,18.5375,16.514015,227452400
11/12/2013,18.488214,18.71143,18.464287,18.571787,16.544556,204276800
11/13/2013,18.5,18.651787,18.462856,18.593929,16.564281,197220800
11/14/2013,18.671785,18.902857,18.638214,18.862858,16.803852,282419200
11/15/2013,18.806429,18.89607,18.731787,18.749643,16.702997,317920400
11/18/2013,18.749643,18.828215,18.507143,18.522499,16.50065,244944000
11/19/2013,18.536785,18.692142,18.498928,18.555357,16.529921,208938800
11/20/2013,18.543928,18.58643,18.368929,18.392857,16.385157,193916800
11/21/2013,18.485714,18.614643,18.345358,18.612143,16.580505,262026800
11/22/2013,18.554285,18.648571,18.518929,18.564285,16.53787,223725600
11/25/2013,18.607857,18.781071,18.607143,18.705,16.663227,229311600
11/26/2013,18.718571,19.147858,18.714287,19.049999,16.97057,401382800
11/27/2013,19.153929,19.5,19.049999,19.498571,17.370176,363448400
11/29/2013,19.624287,19.940357,19.564644,19.859644,17.691839,318127600
12/2/2013,19.928572,20.154642,19.672144,19.686787,17.537848,472544800
12/3/2013,19.939285,20.227858,19.917143,20.225714,18.017944,450968000
12/4/2013,20.196428,20.328215,20.029285,20.178572,17.97595,377809600
12/5/2013,20.451786,20.540714,20.22893,20.282143,18.068214,447580000
12/6/2013,20.206785,20.241072,19.984644,20.000713,17.817505,344352400
12/9/2013,20.032143,20.342142,20.032143,20.229643,18.021444,320493600
12/10/2013,20.127857,20.281429,20.042856,20.198214,17.99345,278269600
12/11/2013,20.25,20.391787,19.98893,20.048571,17.860138,359718800
12/12/2013,20.076429,20.190714,20.001072,20.019285,17.834051,262290000
12/13/2013,20.101786,20.102858,19.77393,19.801071,17.639656,332822000
12/16/2013,19.822144,20.094286,19.821787,19.910713,17.737333,282592800
12/17/2013,19.850357,19.98,19.763571,19.821072,17.657473,229902400
12/18/2013,19.632143,19.694643,19.242857,19.670357,17.523212,565863200
12/19/2013,19.625,19.642857,19.418928,19.445,17.322454,320308800
12/20/2013,19.479643,19.700357,19.457857,19.607857,17.467527,436413600
12/23/2013,20.285713,20.382856,20.098572,20.360357,18.137894,501306400
12/24/2013,20.353214,20.424286,20.215357,20.27393,18.060902,167554800
12/26/2013,20.289286,20.339287,20.120714,20.139286,17.94095,204008000
12/27/2013,20.136429,20.157499,19.982143,20.003214,17.819733,225884400
12/30/2013,19.909286,20.003214,19.725714,19.804285,17.642519,253629600
12/31/2013,19.791786,20.045713,19.785713,20.036428,17.849323,223084400
1/2/2014,19.845715,19.893929,19.715,19.754642,17.598297,234684800
1/3/2014,19.745001,19.775,19.301071,19.320715,17.211735,392467600
1/6/2014,19.194643,19.52857,19.057142,19.426071,17.305593,412610800
1/7/2014,19.440001,19.498571,19.21143,19.287144,17.181829,317209200
